index,Date,Year,Opponent,H/A,Rank,GB,D/N,Attendance
129,"Tuesday, Aug 19",2014,Detroit Tigers,,4,11.5,N,14331
130,"Wednesday, Aug 20",2014,Detroit Tigers,,4,12.5,N,13575
131,"Thursday, Aug 21",2014,Detroit Tigers,,4,12.0,D,19189
132,"Friday, Aug 22",2014,Toronto Blue Jays,@,4,11.0,N,28506
133,"Saturday, Aug 23",2014,Toronto Blue Jays,@,4,11.0,D,37451
134,"Sunday, Aug 24",2014,Toronto Blue Jays,@,4,10.0,D,38869
135,"Monday, Aug 25",2014,Baltimore Orioles,@,4,11.0,N,15516
136,"Tuesday, Aug 26",2014,Baltimore Orioles,@,4,12.0,N,16406
137,"Wednesday, Aug 27",2014,Baltimore Orioles,@,4,11.0,N,20762
138,"Thursday, Aug 28",2014,Baltimore Orioles,@,4,12.0,N,16915
139,"Friday, Aug 29",2014,Boston Red Sox,,4,13.0,N,16107
140,"Saturday, Aug 30",2014,Boston Red Sox,,4,13.0,N,17463
141,"Sunday, Aug 31",2014,Boston Red Sox,,4,14.0,D,16822
143,"Monday, Sep 1",2014,Boston Red Sox,,4,13.0,D,10543
144,"Tuesday, Sep 2",2014,Toronto Blue Jays,,4,14.0,N,10125
145,"Wednesday, Sep 3",2014,Toronto Blue Jays,,4,15.0,N,10264
146,"Thursday, Sep 4",2014,Toronto Blue Jays,,4,16.0,N,10392
147,"Friday, Sep 5",2014,Baltimore Orioles,,4,15.0,N,14632
148,"Saturday, Sep 6",2014,Baltimore Orioles,,4,14.0,D,17969
149,"Sunday, Sep 7",2014,Baltimore Orioles,,4,15.0,D,19914
150,"Tuesday, Sep 9",2014,New York Yankees,@,4,15.5,N,31188
151,"Wednesday, Sep 10",2014,New York Yankees,@,4,16.5,N,31591
152,"Thursday, Sep 11",2014,New York Yankees,@,4,17.0,N,32627
153,"Friday, Sep 12",2014,Toronto Blue Jays,@,4,17.5,N,19909
154,"Saturday, Sep 13",2014,Toronto Blue Jays,@,4,17.5,D,31368
155,"Sunday, Sep 14",2014,Toronto Blue Jays,@,4,17.5,D,28633
156,"Monday, Sep 15",2014,New York Yankees,,4,17.5,N,16058
157,"Tuesday, Sep 16",2014,New York Yankees,,4,17.5,N,21387
158,"Wednesday, Sep 17",2014,New York Yankees,,4,18.5,N,26332
159,"Friday, Sep 19",2014,Chicago White Sox,,4,18.5,N,17540
160,"Saturday, Sep 20",2014,Chicago White Sox,,4,18.5,N,21830
161,"Sunday, Sep 21",2014,Chicago White Sox,,4,18.5,D,21270
162,"Tuesday, Sep 23",2014,Boston Red Sox,@,4,18.0,N,35566
163,"Wednesday, Sep 24",2014,Boston Red Sox,@,4,19.0,N,35741
164,"Thursday, Sep 25",2014,Boston Red Sox,@,4,19.0,N,36590
165,"Friday, Sep 26",2014,Cleveland Guardians,@,4,19.0,N,23131
166,"Saturday, Sep 27",2014,Cleveland Guardians,@,4,18.0,N,33025
167,"Sunday, Sep 28",2014,Cleveland Guardians,@,4,19.0,D,21400
0,"Monday, Apr 6",2015,Baltimore Orioles,,4,1.0,D,31042
1,"Tuesday, Apr 7",2015,Baltimore Orioles,,5,2.0,N,13906
2,"Wednesday, Apr 8",2015,Baltimore Orioles,,5,1.0,N,13569
3,"Friday, Apr 10",2015,Miami Marlins,@,4,2.0,N,17375
4,"Saturday, Apr 11",2015,Miami Marlins,@,4,2.0,D,17830
5,"Sunday, Apr 12",2015,Miami Marlins,@,3,1.0,D,20199
6,"Monday, Apr 13",2015,Toronto Blue Jays,@,2,1.0,N,48414
7,"Tuesday, Apr 14",2015,Toronto Blue Jays,@,2,1.0,N,17264
8,"Wednesday, Apr 15",2015,Toronto Blue Jays,@,2,1.0,N,15086
9,"Thursday, Apr 16",2015,Toronto Blue Jays,@,2,0.5,N,14433
10,"Friday, Apr 17",2015,New York Yankees,,2,1.5,N,15752
11,"Saturday, Apr 18",2015,New York Yankees,,3,1.5,N,20824
12,"Sunday, Apr 19",2015,New York Yankees,,4,1.5,D,21791
13,"Tuesday, Apr 21",2015,Boston Red Sox,,5,3.0,N,14307
14,"Wednesday, Apr 22",2015,Boston Red Sox,,4,2.0,N,12733
15,"Thursday, Apr 23",2015,Boston Red Sox,,4,1.0,N,13834
16,"Friday, Apr 24",2015,Toronto Blue Jays,,3,1.0,N,11897
17,"Saturday, Apr 25",2015,Toronto Blue Jays,,1,0.0,N,19772
18,"Sunday, Apr 26",2015,Toronto Blue Jays,,1,0.0,D,21107
19,"Monday, Apr 27",2015,New York Yankees,@,2,1.0,N,34590
20,"Tuesday, Apr 28",2015,New York Yankees,@,2,2.0,N,36934
21,"Wednesday, Apr 29",2015,New York Yankees,@,2,1.0,D,30055
23,"Friday, May 1",2015,Baltimore Orioles,,2,1.0,N,9945
24,"Saturday, May 2",2015,Baltimore Orioles,,2,2.0,N,12789
25,"Sunday, May 3",2015,Baltimore Orioles,,2,3.0,D,16652
26,"Monday, May 4",2015,Boston Red Sox,@,2,2.0,N,34541
27,"Tuesday, May 5",2015,Boston Red Sox,@,2,3.0,N,33688
28,"Wednesday, May 6",2015,Boston Red Sox,@,2,2.0,N,35060
29,"Thursday, May 7",2015,Texas Rangers,,2,3.0,N,8701
30,"Friday, May 8",2015,Texas Rangers,,2,3.0,N,11704
31,"Saturday, May 9",2015,Texas Rangers,,2,2.0,N,20943
32,"Sunday, May 10",2015,Texas Rangers,,2,3.0,D,14521
33,"Monday, May 11",2015,New York Yankees,,2,4.0,N,10619
34,"Tuesday, May 12",2015,New York Yankees,,2,3.0,N,10417
35,"Wednesday, May 13",2015,New York Yankees,,2,2.0,N,11924
36,"Thursday, May 14",2015,New York Yankees,,2,1.0,N,11977
37,"Friday, May 15",2015,Minnesota Twins,@,2,1.0,N,24018
38,"Saturday, May 16",2015,Minnesota Twins,@,2,2.0,D,27128
39,"Sunday, May 17",2015,Minnesota Twins,@,2,1.0,D,23708
40,"Tuesday, May 19",2015,Atlanta Braves,@,1,0.0,N,20120
41,"Wednesday, May 20",2015,Atlanta Braves,@,1,0.0,N,24549
42,"Thursday, May 21",2015,Oakland Athletics,,1,-0.5,N,10605
43,"Friday, May 22",2015,Oakland Athletics,,1,-1.5,N,12329
44,"Saturday, May 23",2015,Oakland Athletics,,1,-1.5,D,15207
45,"Sunday, May 24",2015,Oakland Athletics,,1,-1.5,D,15692
46,"Monday, May 25",2015,Seattle Mariners,,1,-0.5,N,10401
47,"Tuesday, May 26",2015,Seattle Mariners,,2,0.5,N,9628
48,"Wednesday, May 27",2015,Seattle Mariners,,2,1.5,D,10365
49,"Friday, May 29",2015,Baltimore Orioles,@,2,1.0,N,45505
50,"Saturday, May 30",2015,Baltimore Orioles,@,2,1.0,D,38177
51,"Sunday, May 31",2015,Baltimore Orioles,@,1,0.0,D,36945
53,"Monday, Jun 1",2015,Los Angeles Angels,@,2,1.0,N,27078
54,"Tuesday, Jun 2",2015,Los Angeles Angels,@,2,1.0,N,28771
55,"Wednesday, Jun 3",2015,Los Angeles Angels,@,2,1.0,N,28245
56,"Thursday, Jun 4",2015,Seattle Mariners,@,2,0.5,N,16096
57,"Friday, Jun 5",2015,Seattle Mariners,@,2,0.5,N,20695
58,"Saturday, Jun 6",2015,Seattle Mariners,@,2,1.5,N,31106
59,"Sunday, Jun 7",2015,Seattle Mariners,@,2,1.5,D,27906
60,"Tuesday, Jun 9",2015,Los Angeles Angels,,2,2.5,N,11617
61,"Wednesday, Jun 10",2015,Los Angeles Angels,,2,1.5,N,10088
62,"Thursday, Jun 11",2015,Los Angeles Angels,,2,2.0,N,10779
63,"Friday, Jun 12",2015,Chicago White Sox,,2,1.0,N,13448
64,"Saturday, Jun 13",2015,Chicago White Sox,,1,0.0,D,20248
65,"Sunday, Jun 14",2015,Chicago White Sox,,1,0.0,D,17962
66,"Monday, Jun 15",2015,Washington Nationals,,1,-1.0,N,10216
67,"Tuesday, Jun 16",2015,Washington Nationals,,1,-1.0,N,11491
68,"Wednesday, Jun 17",2015,Washington Nationals,@,1,-1.0,N,28929
69,"Thursday, Jun 18",2015,Washington Nationals,@,1,-1.0,N,29242
70,"Friday, Jun 19",2015,Cleveland Guardians,@,1,-1.0,N,22811
71,"Saturday, Jun 20",2015,Cleveland Guardians,@,1,-1.0,N,24670
72,"Sunday, Jun 21",2015,Cleveland Guardians,@,1,-1.0,D,20847
73,"Monday, Jun 22",2015,Toronto Blue Jays,,1,-1.0,N,10324
74,"Tuesday, Jun 23",2015,Toronto Blue Jays,,1,-2.0,N,11474
75,"Wednesday, Jun 24",2015,Toronto Blue Jays,,1,-1.0,D,18469
76,"Friday, Jun 26",2015,Boston Red Sox,,1,-0.5,N,17508
77,"Saturday, Jun 27",2015,Boston Red Sox,,1,-0.5,D,23876
78,"Sunday, Jun 28",2015,Boston Red Sox,,1,0.0,D,21963
79,"Monday, Jun 29",2015,Cleveland Guardians,,1,0.0,N,11802
80,"Tuesday, Jun 30",2015,Cleveland Guardians,,1,0.0,N,10437
82,"Wednesday, Jul 1",2015,Cleveland Guardians,,3,1.0,N,11394
83,"Thursday, Jul 2",2015,Cleveland Guardians,,3,1.0,D,16353
84,"Friday, Jul 3",2015,New York Yankees,@,3,2.0,N,43141
85,"Saturday, Jul 4",2015,New York Yankees,@,3,3.0,D,35508
86,"Sunday, Jul 5",2015,New York Yankees,@,3,2.0,D,35050
87,"Tuesday, Jul 7 (1)",2015,Kansas City Royals,@,4,2.5,D,22386
88,"Tuesday, Jul 7 (2)",2015,Kansas City Royals,@,4,2.5,N,28119
89,"Wednesday, Jul 8",2015,Kansas City Royals,@,4,3.5,N,28204
90,"Thursday, Jul 9",2015,Kansas City Royals,@,4,4.5,D,32308
91,"Friday, Jul 10",2015,Houston Astros,,3,4.5,N,17129
92,"Saturday, Jul 11",2015,Houston Astros,,3,3.5,D,18479
93,"Sunday, Jul 12",2015,Houston Astros,,2,3.5,D,16458
94,"Friday, Jul 17",2015,Toronto Blue Jays,@,2,4.5,N,32908
95,"Saturday, Jul 18",2015,Toronto Blue Jays,@,2,3.5,D,41583
96,"Sunday, Jul 19",2015,Toronto Blue Jays,@,3,4.5,D,41683
97,"Monday, Jul 20",2015,Phildelphia Phillies,@,4,5.0,N,20148
98,"Tuesday, Jul 21",2015,Phildelphia Phillies,@,3,5.0,N,28703
99,"Wednesday, Jul 22",2015,Phildelphia Phillies,@,3,6.0,D,22252
100,"Friday, Jul 24",2015,Baltimore Orioles,,2,5.5,N,17838
101,"Saturday, Jul 25",2015,Baltimore Orioles,,3,6.5,N,24327
102,"Sunday, Jul 26",2015,Baltimore Orioles,,4,7.5,D,18613
103,"Monday, Jul 27",2015,Detroit Tigers,,4,7.5,N,13348
104,"Tuesday, Jul 28",2015,Detroit Tigers,,3,7.5,N,16326
105,"Wednesday, Jul 29",2015,Detroit Tigers,,4,7.5,D,28057
106,"Friday, Jul 31",2015,Boston Red Sox,@,4,8.0,N,36715
108,"Saturday, Aug 1",2015,Boston Red Sox,@,4,8.0,D,35944
109,"Sunday, Aug 2",2015,Boston Red Sox,@,4,8.0,D,35699
110,"Monday, Aug 3",2015,Chicago White Sox,@,4,7.5,N,16496
111,"Tuesday, Aug 4",2015,Chicago White Sox,@,4,7.5,N,18499
112,"Wednesday, Aug 5",2015,Chicago White Sox,@,4,7.5,D,20028
113,"Friday, Aug 7",2015,New York Mets,,4,8.0,N,23145
114,"Saturday, Aug 8",2015,New York Mets,,4,7.0,N,31042
115,"Sunday, Aug 9",2015,New York Mets,,4,6.0,D,26681
116,"Tuesday, Aug 11",2015,Atlanta Braves,,4,5.0,N,15506
117,"Wednesday, Aug 12",2015,Atlanta Braves,,3,4.5,N,16337
118,"Friday, Aug 14",2015,Texas Rangers,@,4,5.5,N,32512
119,"Saturday, Aug 15",2015,Texas Rangers,@,4,6.5,N,32351
120,"Sunday, Aug 16",2015,Texas Rangers,@,4,6.5,D,29167
121,"Monday, Aug 17",2015,Houston Astros,@,4,6.5,N,16256
122,"Tuesday, Aug 18",2015,Houston Astros,@,4,7.5,N,17749
123,"Wednesday, Aug 19",2015,Houston Astros,@,4,8.5,N,26001
124,"Thursday, Aug 20",2015,Houston Astros,@,4,7.5,N,18177
125,"Friday, Aug 21",2015,Oakland Athletics,@,4,6.5,N,20671
126,"Saturday, Aug 22",2015,Oakland Athletics,@,4,6.5,N,35067
127,"Sunday, Aug 23",2015,Oakland Athletics,@,4,7.0,D,19425
128,"Tuesday, Aug 25",2015,Minnesota Twins,,3,8.0,N,9632
129,"Wednesday, Aug 26",2015,Minnesota Twins,,4,9.0,N,9205
130,"Thursday, Aug 27",2015,Minnesota Twins,,3,8.0,N,9375
131,"Friday, Aug 28",2015,Kansas City Royals,,3,9.0,N,13622
132,"Saturday, Aug 29",2015,Kansas City Royals,,3,10.0,N,24372
133,"Sunday, Aug 30",2015,Kansas City Royals,,3,10.0,D,18634
134,"Monday, Aug 31",2015,Baltimore Orioles,@,3,9.0,N,19841
136,"Tuesday, Sep 1",2015,Baltimore Orioles,@,3,9.0,N,22987
137,"Wednesday, Sep 2",2015,Baltimore Orioles,@,3,10.0,N,15963
138,"Friday, Sep 4",2015,New York Yankees,@,3,10.0,N,32530
139,"Saturday, Sep 5",2015,New York Yankees,@,3,10.0,D,35030
140,"Sunday, Sep 6",2015,New York Yankees,@,3,11.0,D,35299
141,"Monday, Sep 7",2015,Detroit Tigers,@,3,11.0,D,27958
142,"Tuesday, Sep 8",2015,Detroit Tigers,@,3,12.0,N,26526
143,"Wednesday, Sep 9",2015,Detroit Tigers,@,3,11.0,N,25932
144,"Friday, Sep 11",2015,Boston Red Sox,,3,11.0,N,14796
145,"Saturday, Sep 12",2015,Boston Red Sox,,3,12.5,N,20698
146,"Sunday, Sep 13",2015,Boston Red Sox,,3,12.5,D,15402
147,"Monday, Sep 14",2015,New York Yankees,,4,13.0,N,11940
148,"Tuesday, Sep 15",2015,New York Yankees,,4,12.0,N,13539
149,"Wednesday, Sep 16",2015,New York Yankees,,4,13.0,N,13299
150,"Thursday, Sep 17",2015,Baltimore Orioles,,4,14.0,N,9617
151,"Friday, Sep 18",2015,Baltimore Orioles,,4,14.0,N,10697
152,"Saturday, Sep 19",2015,Baltimore Orioles,,4,14.0,N,17053
153,"Sunday, Sep 20",2015,Baltimore Orioles,,4,13.0,D,17801
154,"Monday, Sep 21",2015,Boston Red Sox,@,5,14.0,N,33673
155,"Tuesday, Sep 22",2015,Boston Red Sox,@,4,13.0,N,33673
156,"Wednesday, Sep 23",2015,Boston Red Sox,@,4,13.0,N,32753
157,"Thursday, Sep 24",2015,Boston Red Sox,@,4,12.5,N,34916
158,"Friday, Sep 25",2015,Toronto Blue Jays,@,4,13.5,N,47696
159,"Saturday, Sep 26",2015,Toronto Blue Jays,@,4,14.5,D,47094
160,"Sunday, Sep 27",2015,Toronto Blue Jays,@,5,15.5,D,47287
161,"Tuesday, Sep 29",2015,Miami Marlins,,5,15.5,N,9150
162,"Wednesday, Sep 30",2015,Miami Marlins,,4,15.0,N,9431
164,"Thursday, Oct 1",2015,Miami Marlins,,3,14.0,N,9657
165,"Friday, Oct 2",2015,Toronto Blue Jays,,4,15.0,N,13668
166,"Saturday, Oct 3",2015,Toronto Blue Jays,,4,14.0,N,21963
167,"Sunday, Oct 4",2015,Toronto Blue Jays,,4,13.0,D,15815
0,"Sunday, Apr 3",2016,Toronto Blue Jays,,5,1.0,D,31042
1,"Monday, Apr 4",2016,Toronto Blue Jays,,5,2.0,N,15116
2,"Tuesday, Apr 5",2016,Toronto Blue Jays,,4,1.0,N,12757
3,"Wednesday, Apr 6",2016,Toronto Blue Jays,,2,1.0,D,14257
4,"Friday, Apr 8",2016,Baltimore Orioles,@,4,2.5,N,17304
5,"Sunday, Apr 10",2016,Baltimore Orioles,@,5,3.5,D,23101
6,"Tuesday, Apr 12",2016,Cleveland Guardians,,3,4.0,N,10283
7,"Wednesday, Apr 13",2016,Cleveland Guardians,,5,4.0,N,10117
8,"Thursday, Apr 14",2016,Cleveland Guardians,,5,4.0,D,10715
9,"Friday, Apr 15",2016,Chicago White Sox,,5,5.0,N,16801
10,"Saturday, Apr 16",2016,Chicago White Sox,,5,4.0,N,30451
11,"Sunday, Apr 17",2016,Chicago White Sox,,5,3.5,D,21810
12,"Tuesday, Apr 19",2016,Boston Red Sox,@,3,2.5,N,32061
13,"Wednesday, Apr 20",2016,Boston Red Sox,@,4,3.5,N,31689
14,"Thursday, Apr 21",2016,Boston Red Sox,@,2,3.5,D,37954
15,"Friday, Apr 22",2016,New York Yankees,@,3,3.5,N,31843
16,"Saturday, Apr 23",2016,New York Yankees,@,5,4.5,D,40714
17,"Sunday, Apr 24",2016,New York Yankees,@,4,3.5,D,40981
18,"Monday, Apr 25",2016,Baltimore Orioles,,3,2.5,N,12996
19,"Tuesday, Apr 26",2016,Baltimore Orioles,,3,1.5,N,10988
20,"Wednesday, Apr 27",2016,Baltimore Orioles,,3,2.5,N,11850
21,"Friday, Apr 29",2016,Toronto Blue Jays,,3,4.0,N,13679
22,"Saturday, Apr 30",2016,Toronto Blue Jays,,3,3.0,N,14948
24,"Sunday, May 1",2016,Toronto Blue Jays,,3,3.5,D,27217
25,"Tuesday, May 3",2016,Los Angeles Dodgers,,4,4.0,N,14116
26,"Wednesday, May 4",2016,Los Angeles Dodgers,,4,3.5,N,13226
27,"Friday, May 6",2016,Los Angeles Angels,@,4,3.0,N,41253
28,"Saturday, May 7",2016,Los Angeles Angels,@,3,2.5,N,40142
29,"Sunday, May 8",2016,Los Angeles Angels,@,3,2.5,D,41086
30,"Monday, May 9",2016,Seattle Mariners,@,3,3.0,N,15230
31,"Tuesday, May 10",2016,Seattle Mariners,@,4,4.0,N,16013
32,"Wednesday, May 11",2016,Seattle Mariners,@,4,5.0,D,23000
33,"Friday, May 13",2016,Oakland Athletics,,4,6.5,N,14604
34,"Saturday, May 14",2016,Oakland Athletics,,4,6.5,N,28158
35,"Sunday, May 15",2016,Oakland Athletics,,4,6.5,D,19545
36,"Monday, May 16",2016,Toronto Blue Jays,@,3,6.0,N,26516
37,"Tuesday, May 17",2016,Toronto Blue Jays,@,3,5.0,N,27321
38,"Wednesday, May 18",2016,Toronto Blue Jays,@,3,5.0,N,29078
39,"Friday, May 20",2016,Detroit Tigers,@,3,4.5,N,30304
40,"Saturday, May 21",2016,Detroit Tigers,@,3,5.5,D,32316
41,"Sunday, May 22",2016,Detroit Tigers,@,3,5.5,D,34758
42,"Monday, May 23",2016,Miami Marlins,@,4,6.0,N,17969
43,"Tuesday, May 24",2016,Miami Marlins,@,4,6.0,D,23709
44,"Wednesday, May 25",2016,Miami Marlins,,4,7.0,N,13554
45,"Thursday, May 26",2016,Miami Marlins,,5,7.0,D,11399
46,"Friday, May 27",2016,New York Yankees,,5,7.0,N,14697
47,"Saturday, May 28",2016,New York Yankees,,5,6.0,D,20188
48,"Sunday, May 29",2016,New York Yankees,,5,7.0,D,19748
49,"Monday, May 30",2016,Kansas City Royals,@,5,8.0,N,32018
50,"Tuesday, May 31",2016,Kansas City Royals,@,5,9.0,N,26006
52,"Wednesday, Jun 1",2016,Kansas City Royals,@,5,9.0,N,30554
53,"Thursday, Jun 2",2016,Minnesota Twins,@,5,9.0,N,20193
54,"Friday, Jun 3",2016,Minnesota Twins,@,5,8.0,N,21134
55,"Saturday, Jun 4",2016,Minnesota Twins,@,5,8.0,D,26613
56,"Sunday, Jun 5",2016,Minnesota Twins,@,5,7.0,D,25510
57,"Monday, Jun 6",2016,Arizona Diamondbacks,@,5,7.0,N,17176
58,"Tuesday, Jun 7",2016,Arizona Diamondbacks,@,5,8.0,N,17964
59,"Wednesday, Jun 8",2016,Arizona Diamondbacks,@,5,8.0,D,16954
60,"Friday, Jun 10",2016,Houston Astros,,5,7.5,N,13075
61,"Saturday, Jun 11",2016,Houston Astros,,5,7.5,D,19658
62,"Sunday, Jun 12",2016,Houston Astros,,5,6.5,D,11168
63,"Tuesday, Jun 14",2016,Seattle Mariners,,4,6.5,N,11455
64,"Wednesday, Jun 15",2016,Seattle Mariners,,4,5.5,N,12239
65,"Thursday, Jun 16",2016,Seattle Mariners,,4,6.5,D,11331
66,"Friday, Jun 17",2016,San Francisco Giants,,5,6.5,N,40135
67,"Saturday, Jun 18",2016,San Francisco Giants,,5,7.5,D,23948
68,"Sunday, Jun 19",2016,San Francisco Giants,,5,8.5,D,17361
69,"Monday, Jun 20",2016,Cleveland Guardians,@,5,8.5,N,13811
70,"Tuesday, Jun 21",2016,Cleveland Guardians,@,5,8.5,N,15629
71,"Wednesday, Jun 22",2016,Cleveland Guardians,@,5,9.5,N,21216
72,"Friday, Jun 24",2016,Baltimore Orioles,@,5,10.5,N,44956
73,"Saturday, Jun 25 (1)",2016,Baltimore Orioles,@,5,12.5,D,18229
74,"Saturday, Jun 25 (2)",2016,Baltimore Orioles,@,5,12.5,N,33040
75,"Sunday, Jun 26",2016,Baltimore Orioles,@,5,13.5,D,38611
76,"Monday, Jun 27",2016,Boston Red Sox,,5,13.0,N,18024
77,"Tuesday, Jun 28",2016,Boston Red Sox,,5,14.0,N,16986
78,"Wednesday, Jun 29",2016,Boston Red Sox,,5,14.0,D,24110
79,"Thursday, Jun 30",2016,Detroit Tigers,,5,14.0,N,10729
81,"Friday, Jul 1",2016,Detroit Tigers,,5,14.0,N,13537
82,"Saturday, Jul 2",2016,Detroit Tigers,,5,14.0,D,17861
83,"Sunday, Jul 3",2016,Detroit Tigers,,5,14.0,D,13126
84,"Monday, Jul 4",2016,Los Angeles Angels,,5,13.0,D,14532
85,"Tuesday, Jul 5",2016,Los Angeles Angels,,5,14.0,N,14896
86,"Wednesday, Jul 6",2016,Los Angeles Angels,,5,15.0,N,11267
87,"Thursday, Jul 7",2016,Los Angeles Angels,,5,15.5,D,14576
88,"Friday, Jul 8",2016,Boston Red Sox,@,5,15.5,N,37739
89,"Saturday, Jul 9",2016,Boston Red Sox,@,5,16.5,D,36900
90,"Sunday, Jul 10",2016,Boston Red Sox,@,5,17.5,D,36669
91,"Friday, Jul 15",2016,Baltimore Orioles,,5,18.5,N,17672
92,"Saturday, Jul 16",2016,Baltimore Orioles,,5,19.5,N,18638
93,"Sunday, Jul 17",2016,Baltimore Orioles,,5,18.5,D,16161
94,"Monday, Jul 18",2016,Colorado Rockies,@,5,18.5,N,30601
95,"Tuesday, Jul 19",2016,Colorado Rockies,@,5,17.5,N,33061
96,"Wednesday, Jul 20",2016,Colorado Rockies,@,5,17.0,D,31456
97,"Thursday, Jul 21",2016,Oakland Athletics,@,5,17.0,N,14412
98,"Friday, Jul 22",2016,Oakland Athletics,@,5,17.5,N,15250
99,"Saturday, Jul 23",2016,Oakland Athletics,@,5,18.5,N,30436
100,"Sunday, Jul 24",2016,Oakland Athletics,@,5,19.5,D,17642
101,"Tuesday, Jul 26",2016,Los Angeles Dodgers,@,5,20.0,N,46960
102,"Wednesday, Jul 27",2016,Los Angeles Dodgers,@,5,19.0,D,43576
103,"Friday, Jul 29",2016,New York Yankees,,5,17.5,N,17856
104,"Saturday, Jul 30",2016,New York Yankees,,5,17.0,N,25883
105,"Sunday, Jul 31",2016,New York Yankees,,5,16.5,D,18109
107,"Monday, Aug 1",2016,Kansas City Royals,,5,17.0,N,13976
108,"Tuesday, Aug 2",2016,Kansas City Royals,,5,18.0,N,12625
109,"Wednesday, Aug 3",2016,Kansas City Royals,,5,18.0,N,11149
110,"Thursday, Aug 4",2016,Kansas City Royals,,5,17.0,D,13120
111,"Friday, Aug 5",2016,Minnesota Twins,,5,18.0,N,12161
112,"Saturday, Aug 6",2016,Minnesota Twins,,5,17.0,N,15603
113,"Sunday, Aug 7",2016,Minnesota Twins,,5,18.0,D,12649
114,"Monday, Aug 8",2016,Toronto Blue Jays,@,5,18.0,N,43812
115,"Tuesday, Aug 9",2016,Toronto Blue Jays,@,5,17.0,N,43134
116,"Wednesday, Aug 10",2016,Toronto Blue Jays,@,5,18.0,N,45501
117,"Friday, Aug 12",2016,New York Yankees,@,5,18.5,N,46459
118,"Saturday, Aug 13",2016,New York Yankees,@,5,19.0,D,41682
119,"Sunday, Aug 14",2016,New York Yankees,@,5,19.0,D,41473
120,"Monday, Aug 15",2016,San Diego Padres,,5,18.0,N,10417
121,"Tuesday, Aug 16",2016,San Diego Padres,,5,18.0,N,10793
122,"Wednesday, Aug 17",2016,San Diego Padres,,5,18.0,D,10251
123,"Friday, Aug 19",2016,Texas Rangers,,5,18.0,N,15109
124,"Saturday, Aug 20",2016,Texas Rangers,,5,18.0,N,16505
125,"Sunday, Aug 21",2016,Texas Rangers,,5,17.0,D,17685
126,"Monday, Aug 22",2016,Boston Red Sox,,5,17.5,N,13576
127,"Tuesday, Aug 23",2016,Boston Red Sox,,5,18.5,N,11249
128,"Wednesday, Aug 24",2016,Boston Red Sox,,5,17.5,N,11896
129,"Thursday, Aug 25",2016,Boston Red Sox,,5,16.5,D,12059
130,"Friday, Aug 26",2016,Houston Astros,@,5,17.5,N,25852
131,"Saturday, Aug 27",2016,Houston Astros,@,5,18.5,N,36544
132,"Sunday, Aug 28",2016,Houston Astros,@,5,18.5,D,37484
133,"Monday, Aug 29",2016,Boston Red Sox,@,5,19.5,N,36948
134,"Tuesday, Aug 30",2016,Boston Red Sox,@,5,18.5,N,37083
135,"Wednesday, Aug 31",2016,Boston Red Sox,@,5,19.5,D,36786
137,"Friday, Sep 2",2016,Toronto Blue Jays,,5,18.5,N,12602
138,"Saturday, Sep 3",2016,Toronto Blue Jays,,5,17.5,N,14353
139,"Sunday, Sep 4",2016,Toronto Blue Jays,,5,18.5,D,13884
140,"Monday, Sep 5",2016,Baltimore Orioles,,5,18.5,D,12256
141,"Tuesday, Sep 6",2016,Baltimore Orioles,,5,18.5,N,12207
142,"Wednesday, Sep 7",2016,Baltimore Orioles,,5,18.5,D,10537
143,"Thursday, Sep 8",2016,New York Yankees,@,5,19.0,N,27631
144,"Friday, Sep 9",2016,New York Yankees,@,5,20.0,N,30194
145,"Saturday, Sep 10",2016,New York Yankees,@,5,20.0,D,33460
146,"Sunday, Sep 11",2016,New York Yankees,@,5,20.0,D,33087
147,"Monday, Sep 12",2016,Toronto Blue Jays,@,5,21.0,N,35333
148,"Tuesday, Sep 13",2016,Toronto Blue Jays,@,5,20.0,N,38338
149,"Wednesday, Sep 14",2016,Toronto Blue Jays,@,5,19.0,D,41001
150,"Thursday, Sep 15",2016,Baltimore Orioles,@,5,19.0,N,19233
151,"Friday, Sep 16",2016,Baltimore Orioles,@,5,20.0,N,30094
152,"Saturday, Sep 17",2016,Baltimore Orioles,@,5,20.0,N,27823
153,"Sunday, Sep 18",2016,Baltimore Orioles,@,5,21.0,D,28427
154,"Tuesday, Sep 20",2016,New York Yankees,,5,22.5,N,12732
155,"Wednesday, Sep 21",2016,New York Yankees,,5,23.5,N,12192
156,"Thursday, Sep 22",2016,New York Yankees,,5,23.5,N,13355
157,"Friday, Sep 23",2016,Boston Red Sox,,5,24.5,N,20543
158,"Saturday, Sep 24",2016,Boston Red Sox,,5,25.5,N,25641
159,"Sunday, Sep 25",2016,Boston Red Sox,,5,26.5,D,26443
160,"Monday, Sep 26",2016,Chicago White Sox,@,5,27.0,N,13665
161,"Tuesday, Sep 27",2016,Chicago White Sox,@,5,27.0,N,14798
162,"Wednesday, Sep 28",2016,Chicago White Sox,@,5,27.0,N,12976
163,"Thursday, Sep 29",2016,Chicago White Sox,@,5,26.0,N,14792
164,"Friday, Sep 30",2016,Texas Rangers,@,5,27.0,N,35968
166,"Saturday, Oct 1",2016,Texas Rangers,@,5,26.0,N,42093
167,"Sunday, Oct 2",2016,Texas Rangers,@,5,25.0,D,37015
0,"Sunday, Apr 2",2017,New York Yankees,,1,-0.5,D,31042
